,composition,elements,label,for_test
mp-1187900,"{'Yb': 4.0, 'Mg': 2.0}","('Mg', 'Yb')",OTHERS,False
mp-698096,"{'La': 5.0, 'Fe': 1.0, 'Re': 3.0, 'O': 16.0}","('Fe', 'La', 'O', 'Re')",OTHERS,False
mp-1246482,"{'Mg': 2.0, 'Ni': 2.0, 'W': 2.0, 'S': 8.0}","('Mg', 'Ni', 'S', 'W')",OTHERS,False
mp-1191803,"{'Ag': 10.0, 'Te': 2.0, 'P': 2.0, 'O': 8.0}","('Ag', 'O', 'P', 'Te')",OTHERS,False
mp-683867,"{'Tb': 16.0, 'B': 48.0, 'O': 96.0}","('B', 'O', 'Tb')",OTHERS,False
mp-1206680,"{'Li': 2.0, 'Sn': 1.0, 'Pd': 1.0}","('Li', 'Pd', 'Sn')",OTHERS,False
mp-2375,"{'Pd': 3.0, 'Np': 1.0}","('Np', 'Pd')",OTHERS,False
mp-1199954,"{'Mn': 8.0, 'B': 16.0, 'O': 32.0}","('B', 'Mn', 'O')",OTHERS,False
mp-1204230,"{'Sr': 64.0, 'Ga': 32.0, 'O': 112.0}","('Ga', 'O', 'Sr')",OTHERS,False
mp-778241,"{'Li': 2.0, 'V': 3.0, 'F': 8.0}","('F', 'Li', 'V')",OTHERS,False
mp-1174542,"{'Li': 8.0, 'Mn': 2.0, 'Co': 4.0, 'O': 14.0}","('Co', 'Li', 'Mn', 'O')",OTHERS,False
mp-1205833,"{'Ba': 2.0, 'Nb': 1.0, 'Rh': 1.0, 'O': 6.0}","('Ba', 'Nb', 'O', 'Rh')",OTHERS,False
mp-1184670,"{'Hf': 6.0, 'Al': 2.0}","('Al', 'Hf')",OTHERS,False
mp-19719,"{'Mn': 2.0, 'Se': 8.0, 'Yb': 4.0}","('Mn', 'Se', 'Yb')",OTHERS,False
mvc-2232,"{'Ba': 4.0, 'Mg': 2.0, 'Fe': 4.0, 'Cu': 2.0, 'F': 28.0}","('Ba', 'Cu', 'F', 'Fe', 'Mg')",OTHERS,False
mp-6027,"{'O': 12.0, 'Cu': 2.0, 'Ba': 4.0, 'Tl': 4.0}","('Ba', 'Cu', 'O', 'Tl')",OTHERS,False
mp-1204777,"{'Zn': 4.0, 'H': 48.0, 'C': 24.0, 'S': 16.0, 'N': 8.0}","('C', 'H', 'N', 'S', 'Zn')",OTHERS,False
mp-1221554,"{'Mn': 2.0, 'Si': 4.0, 'Ni': 2.0}","('Mn', 'Ni', 'Si')",OTHERS,False
mp-775748,"{'Li': 4.0, 'Cr': 3.0, 'Fe': 2.0, 'Sn': 3.0, 'O': 16.0}","('Cr', 'Fe', 'Li', 'O', 'Sn')",OTHERS,False
mp-1211634,"{'K': 2.0, 'Pr': 2.0, 'Cl': 8.0, 'O': 8.0}","('Cl', 'K', 'O', 'Pr')",OTHERS,False
mp-768490,"{'Bi': 8.0, 'S': 12.0, 'O': 48.0}","('Bi', 'O', 'S')",OTHERS,False
mp-1198194,"{'Cs': 2.0, 'P': 4.0, 'H': 10.0, 'O': 16.0}","('Cs', 'H', 'O', 'P')",OTHERS,False
mp-557324,"{'Cs': 2.0, 'Cr': 1.0, 'F': 6.0}","('Cr', 'Cs', 'F')",OTHERS,False
mp-1216744,"{'U': 1.0, 'Al': 8.0, 'Cu': 4.0}","('Al', 'Cu', 'U')",OTHERS,False
mp-764273,"{'Na': 4.0, 'Li': 2.0, 'Mn': 2.0, 'P': 2.0, 'C': 2.0, 'O': 14.0}","('C', 'Li', 'Mn', 'Na', 'O', 'P')",OTHERS,False
mp-8713,"{'S': 4.0, 'K': 4.0, 'Mn': 2.0}","('K', 'Mn', 'S')",OTHERS,False
mp-766800,"{'Li': 6.0, 'Fe': 12.0, 'P': 12.0, 'O': 48.0}","('Fe', 'Li', 'O', 'P')",OTHERS,False
mp-1095778,"{'Sr': 1.0, 'Pb': 1.0, 'Au': 2.0}","('Au', 'Pb', 'Sr')",OTHERS,False
mp-1106187,"{'Er': 7.0, 'Fe': 1.0, 'I': 12.0}","('Er', 'Fe', 'I')",OTHERS,False
mp-1188147,"{'B': 16.0, 'Os': 4.0}","('B', 'Os')",OTHERS,False
mp-1185744,"{'Mg': 17.0, 'Al': 11.0, 'Rh': 1.0}","('Al', 'Mg', 'Rh')",OTHERS,False
mp-757889,"{'Li': 4.0, 'Sn': 4.0, 'P': 12.0, 'O': 36.0}","('Li', 'O', 'P', 'Sn')",OTHERS,False
mp-1216438,"{'V': 2.0, 'Co': 6.0, 'As': 2.0, 'O': 16.0}","('As', 'Co', 'O', 'V')",OTHERS,False
mp-1064529,"{'Rb': 2.0, 'N': 2.0}","('N', 'Rb')",OTHERS,False
mp-1222213,"{'Mg': 4.0, 'Al': 4.0, 'Si': 2.0, 'O': 18.0}","('Al', 'Mg', 'O', 'Si')",OTHERS,False
mp-1247324,"{'Re': 8.0, 'Pb': 12.0, 'N': 16.0}","('N', 'Pb', 'Re')",OTHERS,False
mp-1087238,"{'Y': 2.0, 'Cu': 4.0, 'Sn': 4.0}","('Cu', 'Sn', 'Y')",OTHERS,False
mp-1180425,"{'Mg': 2.0, 'N': 2.0, 'Cl': 6.0, 'O': 12.0}","('Cl', 'Mg', 'N', 'O')",OTHERS,False
mp-756689,"{'La': 4.0, 'Sb': 2.0, 'O': 12.0}","('La', 'O', 'Sb')",OTHERS,False
mp-31467,"{'Ga': 3.0, 'Pd': 7.0}","('Ga', 'Pd')",OTHERS,False
mp-22756,"{'O': 6.0, 'K': 4.0, 'Pb': 2.0}","('K', 'O', 'Pb')",OTHERS,False
mp-1094138,"{'Na': 4.0, 'Co': 8.0, 'P': 8.0, 'O': 36.0}","('Co', 'Na', 'O', 'P')",OTHERS,False
mp-675912,"{'Yb': 4.0, 'Sm': 2.0, 'S': 8.0}","('S', 'Sm', 'Yb')",OTHERS,False
mp-1206552,"{'Ba': 2.0, 'Bi': 2.0, 'Br': 2.0, 'O': 4.0}","('Ba', 'Bi', 'Br', 'O')",OTHERS,False
mp-1216581,"{'V': 4.0, 'Fe': 2.0, 'Si': 2.0}","('Fe', 'Si', 'V')",OTHERS,False
mp-772579,"{'La': 8.0, 'W': 4.0, 'O': 24.0}","('La', 'O', 'W')",OTHERS,False
mp-5284,"{'Si': 2.0, 'Cr': 2.0, 'U': 1.0}","('Cr', 'Si', 'U')",OTHERS,False
mp-1174579,"{'Li': 8.0, 'Mn': 2.0, 'Co': 4.0, 'O': 14.0}","('Co', 'Li', 'Mn', 'O')",OTHERS,False
mvc-13134,"{'Cr': 4.0, 'O': 12.0}","('Cr', 'O')",OTHERS,False
mp-504957,"{'Rb': 6.0, 'Re': 6.0, 'Cl': 24.0}","('Cl', 'Rb', 'Re')",OTHERS,False
mp-995200,"{'H': 2.0, 'C': 6.0}","('C', 'H')",OTHERS,False
mp-755052,"{'Li': 2.0, 'V': 4.0, 'O': 8.0}","('Li', 'O', 'V')",OTHERS,False
mp-758539,"{'Li': 2.0, 'Co': 3.0, 'O': 6.0}","('Co', 'Li', 'O')",OTHERS,False
mp-767672,"{'Li': 4.0, 'V': 4.0, 'F': 20.0}","('F', 'Li', 'V')",OTHERS,False
mp-9167,"{'C': 4.0, 'N': 8.0, 'Sr': 4.0}","('C', 'N', 'Sr')",OTHERS,False
mp-1221664,"{'Mn': 1.0, 'Cd': 2.0, 'Te': 3.0}","('Cd', 'Mn', 'Te')",OTHERS,False
mp-770170,"{'Li': 6.0, 'V': 6.0, 'B': 4.0, 'O': 20.0}","('B', 'Li', 'O', 'V')",OTHERS,False
mp-679630,"{'Ba': 4.0, 'Be': 2.0, 'S': 2.0, 'O': 8.0, 'F': 8.0}","('Ba', 'Be', 'F', 'O', 'S')",OTHERS,False
mp-758652,"{'Zn': 2.0, 'Co': 2.0, 'O': 6.0}","('Co', 'O', 'Zn')",OTHERS,False
mp-1096845,"{'Ba': 2.0, 'Ag': 2.0, 'O': 4.0}","('Ag', 'Ba', 'O')",OTHERS,False
mp-1223371,"{'La': 2.0, 'Al': 3.0, 'Ga': 1.0, 'Pd': 4.0}","('Al', 'Ga', 'La', 'Pd')",OTHERS,False
mp-1093586,"{'Hf': 2.0, 'V': 1.0, 'Tc': 1.0}","('Hf', 'Tc', 'V')",OTHERS,False
mp-1199260,"{'B': 4.0, 'P': 8.0, 'Pb': 8.0, 'O': 36.0}","('B', 'O', 'P', 'Pb')",OTHERS,False
mp-24234,"{'H': 16.0, 'N': 4.0, 'O': 4.0, 'S': 4.0, 'Mo': 2.0}","('H', 'Mo', 'N', 'O', 'S')",OTHERS,False
mp-1207223,"{'Zr': 3.0, 'Zn': 3.0, 'Ge': 3.0}","('Ge', 'Zn', 'Zr')",OTHERS,False
mp-29209,"{'Mg': 2.0, 'Ba': 1.0, 'Bi': 2.0}","('Ba', 'Bi', 'Mg')",OTHERS,False
mp-559781,"{'K': 2.0, 'Y': 2.0, 'C': 16.0, 'O': 16.0}","('C', 'K', 'O', 'Y')",OTHERS,False
mp-774906,"{'Li': 8.0, 'Mn': 4.0, 'Ni': 12.0, 'O': 32.0}","('Li', 'Mn', 'Ni', 'O')",OTHERS,False
mp-761277,"{'Li': 4.0, 'Fe': 8.0, 'B': 8.0, 'O': 24.0}","('B', 'Fe', 'Li', 'O')",OTHERS,False
mp-1209334,"{'Rb': 2.0, 'Ho': 2.0, 'W': 4.0, 'O': 16.0}","('Ho', 'O', 'Rb', 'W')",OTHERS,False
mp-1229327,"{'Ba': 8.0, 'Gd': 4.0, 'Cu': 12.0, 'O': 27.0}","('Ba', 'Cu', 'Gd', 'O')",OTHERS,False
mp-1244565,"{'Ca': 2.0, 'Sn': 4.0, 'O': 10.0}","('Ca', 'O', 'Sn')",OTHERS,False
mp-780263,"{'Ba': 24.0, 'Ge': 12.0, 'O': 48.0}","('Ba', 'Ge', 'O')",OTHERS,False
mp-1095164,"{'Gd': 2.0, 'B': 4.0, 'Ru': 4.0}","('B', 'Gd', 'Ru')",OTHERS,False
mp-1096534,"{'Y': 1.0, 'Zr': 1.0, 'Pd': 2.0}","('Pd', 'Y', 'Zr')",OTHERS,False
mp-11301,"{'Cd': 2.0, 'Ho': 1.0}","('Cd', 'Ho')",OTHERS,False
mp-676083,"{'Ce': 4.0, 'U': 2.0, 'Se': 8.0}","('Ce', 'Se', 'U')",OTHERS,False
mp-26155,"{'Li': 2.0, 'O': 24.0, 'P': 8.0, 'Mn': 2.0}","('Li', 'Mn', 'O', 'P')",OTHERS,False
mp-1223424,"{'La': 4.0, 'Pr': 1.0, 'Co': 10.0, 'P': 10.0}","('Co', 'La', 'P', 'Pr')",OTHERS,False
mp-1180326,"{'Na': 6.0, 'Np': 2.0, 'O': 12.0}","('Na', 'Np', 'O')",OTHERS,False
mp-31433,"{'Ni': 2.0, 'Sn': 8.0, 'Lu': 2.0}","('Lu', 'Ni', 'Sn')",OTHERS,False
mp-541991,"{'Cu': 6.0, 'Mo': 6.0, 'O': 24.0}","('Cu', 'Mo', 'O')",OTHERS,False
mp-5878,"{'F': 3.0, 'K': 1.0, 'Zn': 1.0}","('F', 'K', 'Zn')",OTHERS,False
mp-777593,"{'Li': 32.0, 'Ti': 3.0, 'Cr': 13.0, 'O': 48.0}","('Cr', 'Li', 'O', 'Ti')",OTHERS,False
mp-752793,"{'Li': 8.0, 'Ag': 4.0, 'F': 12.0}","('Ag', 'F', 'Li')",OTHERS,False
mp-989564,"{'La': 1.0, 'Os': 1.0, 'N': 3.0}","('La', 'N', 'Os')",OTHERS,False
mp-760468,"{'Li': 2.0, 'Si': 4.0, 'Bi': 2.0, 'O': 12.0}","('Bi', 'Li', 'O', 'Si')",OTHERS,False
mp-3035,"{'Si': 2.0, 'Fe': 2.0, 'Ce': 1.0}","('Ce', 'Fe', 'Si')",OTHERS,False
mp-36946,"{'Tl': 2.0, 'Bi': 2.0, 'S': 4.0}","('Bi', 'S', 'Tl')",OTHERS,False
mp-28592,"{'Li': 7.0, 'O': 2.0, 'Br': 3.0}","('Br', 'Li', 'O')",OTHERS,False
mp-1188906,"{'Sm': 2.0, 'Ga': 2.0, 'Co': 15.0}","('Co', 'Ga', 'Sm')",OTHERS,False
mp-10247,"{'N': 3.0, 'Cr': 1.0, 'U': 2.0}","('Cr', 'N', 'U')",OTHERS,False
mp-865902,"{'Yb': 4.0, 'B': 16.0, 'Os': 4.0}","('B', 'Os', 'Yb')",OTHERS,False
mp-1206794,"{'Li': 1.0, 'Au': 1.0}","('Au', 'Li')",OTHERS,False
Ga 31.0 Co 53.0 Yb 16.0,"{'Ga': 31.0, 'Co': 53.0, 'Yb': 16.0}","('Co', 'Ga', 'Yb')",OTHERS,False
mp-1037802,"{'Ca': 1.0, 'Mg': 30.0, 'Mn': 1.0, 'O': 32.0}","('Ca', 'Mg', 'Mn', 'O')",OTHERS,False
mp-570414,"{'Tm': 8.0, 'Fe': 56.0, 'C': 4.0}","('C', 'Fe', 'Tm')",OTHERS,False
mp-21792,"{'O': 32.0, 'Na': 40.0, 'Co': 8.0}","('Co', 'Na', 'O')",OTHERS,False
mvc-3232,"{'Zn': 2.0, 'Si': 2.0, 'Ni': 2.0, 'O': 10.0}","('Ni', 'O', 'Si', 'Zn')",OTHERS,False
mp-1078033,"{'U': 1.0, 'Ga': 5.0, 'Rh': 1.0}","('Ga', 'Rh', 'U')",OTHERS,False
mp-31337,"{'Pd': 3.0, 'In': 1.0}","('In', 'Pd')",OTHERS,False
mp-20132,"{'In': 1.0, 'Hg': 1.0}","('Hg', 'In')",OTHERS,False
mp-1097671,"{'Ta': 1.0, 'Be': 1.0, 'Rh': 2.0}","('Be', 'Rh', 'Ta')",OTHERS,False
mp-989405,"{'Cs': 2.0, 'Li': 1.0, 'In': 1.0, 'Br': 6.0}","('Br', 'Cs', 'In', 'Li')",OTHERS,False
mp-863669,"{'Pm': 2.0, 'Cu': 1.0, 'Pt': 1.0}","('Cu', 'Pm', 'Pt')",OTHERS,False
mp-26317,"{'Li': 2.0, 'Cr': 2.0, 'P': 2.0, 'O': 8.0}","('Cr', 'Li', 'O', 'P')",OTHERS,False
mp-1096445,"{'Cs': 1.0, 'Rb': 2.0, 'Bi': 1.0}","('Bi', 'Cs', 'Rb')",OTHERS,False
mp-834,"{'N': 1.0, 'Th': 1.0}","('N', 'Th')",OTHERS,False
mp-560714,"{'Ba': 4.0, 'V': 16.0, 'As': 16.0, 'O': 76.0}","('As', 'Ba', 'O', 'V')",OTHERS,False
mp-601286,"{'Tb': 4.0, 'Cu': 4.0, 'Pb': 4.0, 'Se': 12.0}","('Cu', 'Pb', 'Se', 'Tb')",OTHERS,False
mp-1174046,"{'Li': 6.0, 'Mn': 2.0, 'Co': 2.0, 'O': 10.0}","('Co', 'Li', 'Mn', 'O')",OTHERS,False
mp-11247,"{'Li': 3.0, 'Au': 1.0}","('Au', 'Li')",OTHERS,False
mp-6504,"{'C': 2.0, 'O': 6.0, 'Mg': 1.0, 'Ba': 1.0}","('Ba', 'C', 'Mg', 'O')",OTHERS,False
mp-680690,"{'La': 1.0, 'Cu': 3.0, 'Ru': 4.0, 'O': 12.0}","('Cu', 'La', 'O', 'Ru')",OTHERS,False
mp-1189013,"{'K': 2.0, 'Pt': 1.0, 'N': 4.0, 'O': 10.0}","('K', 'N', 'O', 'Pt')",OTHERS,False
mp-779341,"{'Li': 9.0, 'Mn': 12.0, 'B': 12.0, 'O': 36.0}","('B', 'Li', 'Mn', 'O')",OTHERS,False
mp-1209044,"{'Sc': 20.0, 'Sb': 12.0}","('Sb', 'Sc')",OTHERS,False
mp-1196608,"{'Nd': 12.0, 'Tl': 2.0, 'Fe': 26.0}","('Fe', 'Nd', 'Tl')",OTHERS,False
mp-559994,"{'La': 24.0, 'S': 16.0, 'Br': 4.0, 'N': 12.0}","('Br', 'La', 'N', 'S')",OTHERS,False
mp-510357,"{'La': 8.0, 'Br': 10.0, 'B': 8.0}","('B', 'Br', 'La')",OTHERS,False
mp-1019108,"{'Sm': 2.0, 'Co': 2.0, 'Si': 2.0}","('Co', 'Si', 'Sm')",OTHERS,False
mp-1191536,"{'Eu': 2.0, 'Zn': 22.0}","('Eu', 'Zn')",OTHERS,False
mp-19039,"{'O': 8.0, 'Mo': 2.0, 'Cd': 2.0}","('Cd', 'Mo', 'O')",OTHERS,False
mp-1066,"{'N': 1.0, 'Yb': 1.0}","('N', 'Yb')",OTHERS,False
mp-1211215,"{'Li': 8.0, 'Nd': 4.0, 'N': 20.0, 'O': 60.0}","('Li', 'N', 'Nd', 'O')",OTHERS,False
mp-19356,"{'O': 18.0, 'Mn': 6.0, 'Yb': 6.0}","('Mn', 'O', 'Yb')",OTHERS,False
mp-1173397,"{'Sc': 6.0, 'Nb': 2.0, 'O': 14.0}","('Nb', 'O', 'Sc')",OTHERS,False
mp-972439,"{'Zn': 6.0, 'P': 4.0, 'O': 16.0}","('O', 'P', 'Zn')",OTHERS,False
mp-1227705,"{'Ba': 1.0, 'Sr': 1.0, 'Ca': 1.0, 'Mg': 1.0, 'Si': 2.0, 'O': 8.0}","('Ba', 'Ca', 'Mg', 'O', 'Si', 'Sr')",OTHERS,False
mp-6574,"{'C': 1.0, 'N': 2.0, 'O': 2.0, 'Er': 2.0}","('C', 'Er', 'N', 'O')",OTHERS,False
mvc-657,"{'Fe': 2.0, 'W': 4.0, 'O': 16.0}","('Fe', 'O', 'W')",OTHERS,False
mp-675374,"{'Al': 4.0, 'Pb': 2.0, 'Se': 8.0}","('Al', 'Pb', 'Se')",OTHERS,False
mp-1214906,"{'Ag': 2.0, 'Mo': 2.0, 'O': 8.0}","('Ag', 'Mo', 'O')",OTHERS,False
mp-13283,"{'S': 12.0, 'Sm': 2.0, 'Er': 6.0}","('Er', 'S', 'Sm')",OTHERS,False
mp-1179608,"{'S': 2.0, 'O': 8.0}","('O', 'S')",OTHERS,False
mp-616615,"{'Hf': 16.0, 'Mn': 2.0, 'Te': 12.0}","('Hf', 'Mn', 'Te')",OTHERS,False
mp-1189383,"{'Li': 4.0, 'Cd': 2.0, 'Ge': 2.0, 'S': 8.0}","('Cd', 'Ge', 'Li', 'S')",OTHERS,False
mp-1222873,"{'Li': 2.0, 'Al': 1.0, 'Ni': 3.0, 'O': 6.0}","('Al', 'Li', 'Ni', 'O')",OTHERS,False
mp-625211,"{'Li': 2.0, 'H': 6.0, 'O': 4.0}","('H', 'Li', 'O')",OTHERS,False
mp-1245835,"{'Pd': 2.0, 'C': 4.0, 'N': 4.0}","('C', 'N', 'Pd')",OTHERS,False
mp-1200792,"{'Fe': 4.0, 'P': 16.0, 'C': 16.0, 'O': 40.0}","('C', 'Fe', 'O', 'P')",OTHERS,False
mp-1175669,"{'Li': 9.0, 'Mn': 2.0, 'Co': 5.0, 'O': 16.0}","('Co', 'Li', 'Mn', 'O')",OTHERS,False
mp-22417,"{'Li': 4.0, 'O': 16.0, 'P': 4.0, 'Ni': 4.0}","('Li', 'Ni', 'O', 'P')",OTHERS,False
mp-631267,"{'Ta': 1.0, 'Fe': 1.0, 'Sb': 1.0}","('Fe', 'Sb', 'Ta')",OTHERS,False
mp-1222349,"{'Li': 2.0, 'Ge': 2.0, 'Rh': 2.0, 'O': 8.0}","('Ge', 'Li', 'O', 'Rh')",OTHERS,False
mp-1076897,"{'Ca': 28.0, 'Mg': 4.0, 'Mn': 32.0, 'O': 80.0}","('Ca', 'Mg', 'Mn', 'O')",OTHERS,False
mp-619577,"{'K': 16.0, 'V': 16.0, 'P': 32.0, 'O': 120.0}","('K', 'O', 'P', 'V')",OTHERS,False
mp-1227547,"{'Cu': 6.0, 'Pb': 2.0, 'Se': 6.0, 'N': 2.0, 'O': 27.0}","('Cu', 'N', 'O', 'Pb', 'Se')",OTHERS,False
mp-1147764,"{'Na': 4.0, 'Cu': 2.0, 'I': 4.0, 'Cl': 4.0}","('Cl', 'Cu', 'I', 'Na')",OTHERS,False
mp-983388,"{'K': 3.0, 'Hg': 1.0}","('Hg', 'K')",OTHERS,False
mp-722979,"{'K': 4.0, 'Zn': 2.0, 'H': 16.0, 'N': 8.0}","('H', 'K', 'N', 'Zn')",OTHERS,False
mp-1176187,"{'Li': 9.0, 'Mn': 2.0, 'Co': 5.0, 'O': 16.0}","('Co', 'Li', 'Mn', 'O')",OTHERS,False
mp-560223,"{'K': 8.0, 'Se': 4.0, 'S': 8.0, 'O': 24.0}","('K', 'O', 'S', 'Se')",OTHERS,False
mp-1217234,"{'Ti': 8.0, 'Co': 3.0, 'Ni': 1.0, 'Sn': 4.0}","('Co', 'Ni', 'Sn', 'Ti')",OTHERS,False
mp-1093568,"{'Y': 1.0, 'Zn': 2.0, 'Pd': 1.0}","('Pd', 'Y', 'Zn')",OTHERS,False
mp-1040315,"{'K': 1.0, 'Mg': 30.0, 'B': 1.0, 'O': 31.0}","('B', 'K', 'Mg', 'O')",OTHERS,False
mp-771282,"{'Li': 24.0, 'Ti': 7.0, 'Cr': 5.0, 'O': 36.0}","('Cr', 'Li', 'O', 'Ti')",OTHERS,False
mp-758332,"{'Ca': 4.0, 'Gd': 16.0, 'O': 28.0}","('Ca', 'Gd', 'O')",OTHERS,False
mvc-8343,"{'Ca': 4.0, 'Cr': 4.0, 'Ni': 4.0, 'P': 8.0, 'O': 36.0}","('Ca', 'Cr', 'Ni', 'O', 'P')",OTHERS,False
mp-1097023,"{'K': 4.0, 'Fe': 4.0, 'O': 12.0}","('Fe', 'K', 'O')",OTHERS,False
mp-752931,"{'Li': 2.0, 'Mn': 1.0, 'F': 4.0}","('F', 'Li', 'Mn')",OTHERS,False
mp-774311,"{'Li': 12.0, 'Mn': 4.0, 'V': 4.0, 'P': 12.0, 'O': 48.0}","('Li', 'Mn', 'O', 'P', 'V')",OTHERS,False
mp-1189104,"{'Eu': 6.0, 'Ga': 4.0, 'P': 8.0}","('Eu', 'Ga', 'P')",OTHERS,False
mp-570759,"{'Tb': 8.0, 'Bi': 6.0}","('Bi', 'Tb')",OTHERS,False
mp-582084,"{'Cd': 18.0, 'I': 36.0}","('Cd', 'I')",OTHERS,False
mp-1198634,"{'Yb': 2.0, 'P': 6.0, 'H': 12.0, 'O': 12.0}","('H', 'O', 'P', 'Yb')",OTHERS,False
mp-1214425,"{'C': 96.0, 'Br': 8.0, 'F': 72.0}","('Br', 'C', 'F')",OTHERS,False
mp-758373,"{'Li': 8.0, 'Co': 8.0, 'P': 8.0, 'O': 32.0}","('Co', 'Li', 'O', 'P')",OTHERS,False
mp-1218226,"{'Sr': 2.0, 'La': 2.0, 'Ga': 2.0, 'Cu': 2.0, 'O': 10.0}","('Cu', 'Ga', 'La', 'O', 'Sr')",OTHERS,False
mp-1095715,"{'Ca': 1.0, 'La': 1.0, 'Rh': 2.0}","('Ca', 'La', 'Rh')",OTHERS,False
mp-14883,"{'S': 10.0, 'Zr': 3.0, 'Ba': 4.0}","('Ba', 'S', 'Zr')",OTHERS,False
mp-24664,"{'H': 16.0, 'C': 4.0, 'N': 8.0, 'O': 4.0, 'Cl': 4.0, 'Zn': 2.0}","('C', 'Cl', 'H', 'N', 'O', 'Zn')",OTHERS,False
mp-850538,"{'Mn': 2.0, 'Fe': 3.0, 'Sn': 1.0, 'P': 6.0, 'O': 24.0}","('Fe', 'Mn', 'O', 'P', 'Sn')",OTHERS,False
mp-1225646,"{'Dy': 12.0, 'Cu': 4.0, 'Se': 24.0}","('Cu', 'Dy', 'Se')",OTHERS,False
mp-1196142,"{'Te': 8.0, 'N': 4.0, 'O': 24.0}","('N', 'O', 'Te')",OTHERS,False
mp-1239184,"{'Cr': 8.0, 'Hg': 4.0, 'S': 16.0}","('Cr', 'Hg', 'S')",OTHERS,False
mp-8720,"{'Mn': 2.0, 'Rb': 4.0, 'Te': 4.0}","('Mn', 'Rb', 'Te')",OTHERS,False
mp-677349,"{'Li': 22.0, 'Mn': 2.0, 'As': 12.0}","('As', 'Li', 'Mn')",OTHERS,False
mp-1217575,"{'Th': 14.0, 'Ag': 51.0}","('Ag', 'Th')",OTHERS,False
mp-1205783,"{'Na': 1.0, 'Sc': 1.0, 'N': 2.0, 'F': 6.0}","('F', 'N', 'Na', 'Sc')",OTHERS,False
mp-675711,"{'Li': 2.0, 'Mo': 12.0, 'S': 16.0}","('Li', 'Mo', 'S')",OTHERS,False
mp-770619,"{'Li': 24.0, 'Mn': 11.0, 'Cr': 1.0, 'O': 36.0}","('Cr', 'Li', 'Mn', 'O')",OTHERS,False
mp-1025084,"{'Ho': 2.0, 'B': 2.0, 'C': 2.0}","('B', 'C', 'Ho')",OTHERS,False
mvc-8947,"{'Ca': 2.0, 'La': 2.0, 'Fe': 2.0, 'Ni': 2.0, 'O': 12.0}","('Ca', 'Fe', 'La', 'Ni', 'O')",OTHERS,False
mp-1186661,"{'Pu': 1.0, 'Cl': 1.0}","('Cl', 'Pu')",OTHERS,False
mp-685369,"{'Ti': 6.0, 'Fe': 14.0, 'O': 30.0}","('Fe', 'O', 'Ti')",OTHERS,False
mp-7921,"{'F': 6.0, 'Mg': 1.0, 'Pd': 1.0}","('F', 'Mg', 'Pd')",OTHERS,False
mp-541047,"{'Al': 1.0, 'Pd': 2.0, 'Zr': 1.0}","('Al', 'Pd', 'Zr')",OTHERS,False
mp-1246515,"{'Ca': 12.0, 'Te': 6.0, 'N': 4.0}","('Ca', 'N', 'Te')",OTHERS,False
mp-28550,"{'F': 14.0, 'Ag': 3.0, 'Hf': 2.0}","('Ag', 'F', 'Hf')",OTHERS,False
mp-23194,"{'La': 1.0, 'I': 2.0}","('I', 'La')",OTHERS,False
mp-1201679,"{'Ba': 4.0, 'La': 8.0, 'W': 4.0, 'O': 28.0}","('Ba', 'La', 'O', 'W')",OTHERS,False
mp-753188,"{'Li': 5.0, 'Mn': 2.0, 'Co': 5.0, 'O': 12.0}","('Co', 'Li', 'Mn', 'O')",OTHERS,False
mp-19112,"{'O': 8.0, 'S': 2.0, 'Fe': 2.0}","('Fe', 'O', 'S')",OTHERS,False
mp-21895,"{'Na': 30.0, 'Pb': 8.0}","('Na', 'Pb')",OTHERS,False
mp-982243,"{'Y': 6.0, 'Sn': 2.0}","('Sn', 'Y')",OTHERS,False
mp-12466,"{'Fe': 2.0, 'Se': 4.0, 'Pd': 4.0}","('Fe', 'Pd', 'Se')",OTHERS,False
mp-669913,"{'Sr': 4.0, 'Pb': 6.0}","('Pb', 'Sr')",OTHERS,False
mvc-13624,"{'Ca': 1.0, 'La': 2.0, 'Ti': 1.0, 'O': 6.0}","('Ca', 'La', 'O', 'Ti')",OTHERS,False
mp-759047,"{'Li': 12.0, 'Cr': 3.0, 'P': 6.0, 'O': 24.0, 'F': 6.0}","('Cr', 'F', 'Li', 'O', 'P')",OTHERS,False
mp-1199246,"{'Ba': 10.0, 'B': 6.0, 'Br': 2.0, 'O': 18.0}","('B', 'Ba', 'Br', 'O')",OTHERS,False
mp-775072,"{'Li': 4.0, 'Mn': 3.0, 'Cu': 2.0, 'Sb': 3.0, 'O': 16.0}","('Cu', 'Li', 'Mn', 'O', 'Sb')",OTHERS,False
mp-1188841,"{'Ba': 1.0, 'Nb': 2.0, 'V': 2.0, 'O': 11.0}","('Ba', 'Nb', 'O', 'V')",OTHERS,False
mp-3782,"{'O': 24.0, 'Sb': 10.0, 'Nd': 6.0}","('Nd', 'O', 'Sb')",OTHERS,False
mp-1112894,"{'Cs': 2.0, 'In': 1.0, 'As': 1.0, 'Cl': 6.0}","('As', 'Cl', 'Cs', 'In')",OTHERS,False
mp-675755,"{'Ti': 1.0, 'Cu': 3.0, 'O': 4.0}","('Cu', 'O', 'Ti')",OTHERS,False
mp-752935,"{'Li': 2.0, 'Fe': 4.0, 'O': 8.0}","('Fe', 'Li', 'O')",OTHERS,False
mp-1079395,"{'Ce': 4.0, 'Ge': 4.0}","('Ce', 'Ge')",OTHERS,False
