reactant,product,XLogP,TPSA
CCN1CCCCC1CCc1ccccc1N.O=C(Cl)C=Cc1ccccc1,CCN1CCCCC1CCc1ccccc1NC(=O)C=Cc1ccccc1,5.1,32.3
C#CC(=O)OCC.CN1CCCCC1CCc1ccccc1N,CN1CCCCC1CCc1ccccc1NC(=O)C#Cc1ccccc1,4.9,32.3
CN1CCCCC1CCCc1ccccc1N.COc1ccc(C(=O)Nc2ccccc2CCCC2CCCCN2C)cc1,CN1CCCCC1CCCc1ccccc1NC(=O)C=Cc1ccccc1,5.1,32.3
COc1ccc(C(=O)Cl)cc1.O=[N+]([O-])c1cc2c(cc1C=Cc1ccccn1)OCO2,COc1ccc(C(=O)Nc2cc3c(cc2CCc2ccccn2)OCO3)cc1,3.7,69.7
COc1ccc(C(=O)Nc2ccccc2C=O)cc1.[Li]c1ccccn1,COc1ccc(C(=O)Nc2ccccc2C(O)c2ccccn2)cc1,3.1,71.4
COc1ccc(C(=O)Nc2ccccc2C(O)c2ccccn2)cc1,COc1ccc(C(=O)Nc2ccccc2Cc2ccccn2)cc1,3.6,51.2
C1CCOC1.COc1ccc(C(=O)Nc2ccccc2C(=O)c2ccccn2)cc1,COc1ccc(C(=O)Nc2ccccc2C(C)(O)c2ccccn2)cc1,3.2,71.4
COc1ccc(C(=O)NC2C=CC=CC2=C(C)c2ccccn2)cc1,COc1ccc(C(=O)Nc2ccccc2C(C)c2ccccn2)cc1,3.9,51.2
CC(Cc1ccccn1)c1ccc(Br)cc1.O=[N+]([O-])O,CC(Cc1ccccn1)c1ccc(Br)cc1[N+](=O)[O-],4.0,58.7
CC(=O)O.O=c1c2cc(CBr)ccc2oc2ncccc12,O=Cc1ccc2oc3ncccc3c(=O)c2c1,1.7,56.3
OC1c2ccccc2Oc2ncccc21,c1ccc2c(c1)Cc1cccnc1O2,2.7,22.1
CC(=O)O.ClCc1ccc2c(c1)Cc1cccnc1O2,O=Cc1ccc2c(c1)Cc1cccnc1O2,2.2,39.2
CC(C)I.O=Cc1ccc2c(c1)Cc1cccnc1O2,CC(C)C(O)c1ccc2c(c1)Cc1cccnc1O2,3.2,42.4
CC(C)C(O)c1ccc2c(c1)Cc1cccnc1O2.O=[Mn](=O)(=O)[O-],CC(C)C(O)c1ccc2oc3ncccc3c(=O)c2c1,2.7,59.4
O=c1c2cc(C=NO)ccc2oc2ncccc12,N#Cc1ccc2oc3ncccc3c(=O)c2c1,1.9,63.0
O=C([O-])c1ccc2oc3ncccc3c(=O)c2c1.O=S(Cl)Cl,O=C(Cl)c1ccc2oc3ncccc3c(=O)c2c1,2.7,56.3
CCOC(=O)CC(=O)OCC.O=C(Cl)c1ccc2oc3ncccc3c(=O)c2c1,CCOC(=O)C(C(=O)OCC)C(=O)c1ccc2oc3ncccc3c(=O)c2c1,2.8,109.0
CC(=O)c1ccc(O)cc1.O=C(O)c1cccnc1Cl,CC(=O)c1ccc(Oc2ncccc2C(=O)O)cc1,1.9,76.5
CC(=O)c1ccc(Oc2ncccc2C(=O)Cl)cc1,CC(=O)c1ccc2oc3ncccc3c(=O)c2c1,1.9,56.3
CC(=O)Cl.c1ccc2c(c1)Cc1cccnc1O2,CC(=O)c1ccc2c(c1)Cc1cccnc1O2,2.4,39.2
CC(=O)Cl.CC1(C)c2ccccc2Oc2ncccc21,CC(=O)c1ccc2c(c1)C(C)(C)c1cccnc1O2,3.3,39.2
CCOC(=O)C(C(=O)OCC)C(=O)c1ccc2oc3ncccc3c(=O)c2c1,CC(=O)c1ccc2oc3ncccc3c(=O)c2c1,1.9,56.3
CC(=O)c1ccc2c(c1)Cc1cccnc1O2.O=[Mn](=O)(=O)[O-],CC(=O)c1ccc2oc3ncccc3c(=O)c2c1,1.9,56.3
CC(C)C(O)c1ccc2oc3ncccc3c(=O)c2c1,CC(C)C(=O)c1ccc2oc3ncccc3c(=O)c2c1,3.0,56.3
CC(C)C(O)c1ccc2c(c1)Cc1cccnc1O2.O=[Mn](=O)(=O)[O-],CC(C)C(=O)c1ccc2oc3ncccc3c(=O)c2c1,3.0,56.3
O=C(O)c1ccc(Oc2ncccc2C(=O)O)cc1,O=C(O)c1ccc2oc3ncccc3c(=O)c2c1,1.8,76.5
CC(=O)O.N#Cc1ccc2oc3ncccc3c(=O)c2c1,O=C(O)c1ccc2oc3ncccc3c(=O)c2c1,1.8,76.5
CC(C)OC(=O)c1ccc2c(c1)Cc1cccnc1O2,O=C(O)c1ccc2c(c1)Cc1cccnc1O2,2.2,59.4
CCO.O=C(O)c1ccc2oc3ncccc3c(=O)c2c1,CCOC(=O)c1ccc2oc3ncccc3c(=O)c2c1,2.4,65.5
CCc1ccc2oc3ncccc3c(=O)c2c1.[O-2],CC(=O)c1ccc2oc3ncccc3c(=O)c2c1,1.9,56.3
CC(=O)Nc1ccc(OCc2nc(Cl)ccc2Cl)cc1.[NH4+],Nc1ccccc1OCc1nc(Cl)ccc1Cl,3.3,48.1
CNOC.O=C=Nc1ccc(OCc2nc(Cl)ccc2Cl)cc1,CON(C)C(=O)Nc1ccc(OCc2nc(Cl)ccc2Cl)cc1,3.2,63.7
CN(C)C(=O)Cl.Nc1ccc(SCc2nc(Cl)ccc2Cl)cc1,CN(C)C(=O)Nc1ccc(SCc2nc(Cl)ccc2Cl)cc1,3.7,70.5
O=C(O)c1nc(Cl)ccc1Cl.OCc1nc(Cl)ccc1Cl,ClCc1nc(Cl)ccc1Cl,2.9,12.9
O=C=Nc1ccc([N+](=O)[O-])cc1.OCc1cccnc1,O=C(Nc1ccc([N+](=O)[O-])cc1)OCc1cccnc1,1.8,97.0
O=C=Nc1ccc(C(F)(F)F)cc1.OCc1cccnc1,O=C(Nc1ccc(C(F)(F)F)cc1)OCc1cccnc1,2.8,51.2
CSc1ccc(NC(=O)OCc2cccnc2)cc1.O,CS(=O)c1ccc(NC(=O)OCc2cccnc2)cc1,1.1,87.5
NCc1cccnc1.O=C=Nc1ccc([N+](=O)[O-])cc1,O=C(NCc1cccnc1)Nc1ccc([N+](=O)[O-])cc1,1.2,99.8
CC(C)(C)Sc1ccc([N+](=O)[O-])cc1.O=C(Cl)Cl,O=C=Nc1ccc(S)cc1,2.9,30.4
NCc1cccnc1.O=C=Nc1ccc(S)cc1,O=C(NCc1cccnc1)Nc1ccc(S)cc1,1.5,55.0
CC(=O)Nc1ccc(S)cc1.Clc1cccc(Cl)n1,CC(=O)Nc1ccc(Sc2cccc(Cl)n2)cc1,3.4,67.3
CCC(=O)Cl.Nc1ccc(Oc2cccc(Cl)n2)c(Cl)c1,CCC(=O)Nc1ccc(Oc2cccc(Cl)n2)c(Cl)c1,4.0,51.2
Nc1ccc(Oc2cccc(Cl)n2)cc1.O=C(Cl)Cl,O=C=Nc1ccc(Oc2cccc(Cl)n2)cc1,4.5,51.6
Nc1ccc(Oc2cccc(Cl)n2)cc1.S=C(Cl)Cl,S=C=Nc1ccc(Oc2cccc(Cl)n2)cc1,5.1,66.6
CC1CCC(C)N1.O.S=C=Nc1ccc(Oc2cccc(Cl)n2)cc1,CC1CCC(C)N1C(=O)Nc1ccc(Oc2cccc(Cl)n2)cc1,4.2,54.5
CN(C(N)=O)c1ccc(Oc2cccc(Cl)n2)cc1.ClSc1ccc(Cl)cc1.c1ccncc1,CN(Sc1ccc(Cl)cc1)C(=O)Nc1ccc(Oc2cccc(Cl)n2)cc1,5.5,79.8
CN(C)C(=O)Nc1ccc(O)cc1.[O-][n+]1c(Cl)cccc1Cl.[OH-],C[N+](C)([O-])C(=O)Nc1ccc(Oc2cccc(Cl)n2)cc1,2.6,69.3
CC(C)N.Clc1nc(Cl)c2cscc2n1,CC(C)Nc1nc(Cl)nc2cscc12,3.3,66.0
CC[O-].Clc1nc(Cl)c2cscc2n1,CCOc1nc(Cl)nc2cscc12,2.9,63.2
CC(C)Nc1nc(Cl)nc2cscc12,CC(C)Nc1ncnc2cscc12,2.3,66.0
C1COCCN1.CC(C)Nc1nc(Cl)nc2cscc12,CC(C)Nc1nc(N2CCOCC2)nc2cscc12,2.4,78.5
CCOC(=O)c1c(NC(N)=O)csc1C.Cc1scc2nc(O)nc(O)c12,CCCNc1nc(NC(C)C)c2c(C)scc2n1,3.9,78.1
CCCN.CCOc1nc(OCC)c2cscc2n1,CCCNc1nc(OCC)nc2cscc12,3.1,75.3
CC(C)Nc1nc(Cl)nc2cscc12.CC[O-],CCOc1nc(NC(C)C)c2cscc2n1,3.0,75.3
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CCC(=O)C=C1[C@H](OS(C)(=O)=O)[C@@H]3OS(C)(=O)=O.[N-]=[N+]=[N-],CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(N=[N+]=[N-])C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,3.9,74.8
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)C=CC(=O)C=C1[C@H](OS(C)(=O)=O)[C@@H]3OS(C)(=O)=O.[N-]=[N+]=[N-],CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(N=[N+]=[N-])C4=CC(=O)C=C[C@]4(C)[C@H]3CC[C@@]21C,4.1,74.8
C[C@]12CC[C@H]3[C@@H]([C@H](O)[C@H](O)C4=CC(=O)CC[C@@]43C)[C@@H]1CCC2=O.[N-]=[N+]=[N-],C[C@]12CC[C@H]3[C@@H](C=C(N=[N+]=[N-])C4=CC(=O)CC[C@@]43C)[C@@H]1CCC2=O,3.4,48.5
C[C@]12C=CC(=O)C=C1[C@H](OS(C)(=O)=O)[C@H](OS(C)(=O)=O)[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12.[N-]=[N+]=[N-],C[C@]12C=CC(=O)C=C1C(N=[N+]=[N-])=C[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,3.6,48.5
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CCC(=O)C=C1[C@H](OS(C)(=O)=O)[C@@H]3OS(C)(=O)=O.[N-]=[N+]=[N-],CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C=C(N=[N+]=[N-])C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,8.9,31.4
C=C1C[C@H]2[C@H]3[C@H](CC[C@]2(C)[C@@]1(O)C(C)=O)[C@@]1(C)CCC(=O)C=C1[C@H](OS(C)(=O)=O)[C@@H]3OS(C)(=O)=O.[N-]=[N+]=[N-],C=C1C[C@H]2[C@@H]3C=C(N=[N+]=[N-])C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]2(C)[C@@]1(O)C(C)=O,3.3,68.7
CS(=O)(=O)Cl.C[C@]12CC[C@H]3[C@@H]([C@H](O)[C@@H](O)C4=CC(=O)CC[C@@]43C)[C@@H]1CCC2=O,C[C@]12CC[C@H]3[C@@H]([C@H](OS(C)(=O)=O)[C@@H](OS(C)(=O)=O)C4=CC(=O)CC[C@@]43C)[C@@H]1CCC2=O,0.7,138.0
CC(=O)O.N#CCc1ccc2c(c1)Cc1cccnc1O2,O=C(O)Cc1ccc2c(c1)Cc1cccnc1O2,2.2,59.4
CN(C)C=O.ClCc1ccc2c(c1)Cc1cccnc1O2,N#CCc1ccc2c(c1)Cc1cccnc1O2,2.4,45.9
CC(=O)O.N#CCc1ccc2oc3ncccc3c(=O)c2c1,O=C(O)Cc1ccc2oc3ncccc3c(=O)c2c1,1.7,76.5
CCOC(=O)OCC.CI.N#CCc1ccc2c(c1)Cc1cccnc1O2,CCOC(=O)C(C)(C#N)c1ccc2c(c1)Cc1cccnc1O2,3.2,72.2
CCOC(=O)C(C)(C#N)c1ccc2oc3ncccc3c(=O)c2c1,CC(C(=O)O)c1ccc2oc3ncccc3c(=O)c2c1,2.3,76.5
CC(C(=O)O)c1ccc2oc3ncccc3c(=O)c2c1,CC(C(=O)O)c1ccc2c(c1)Cc1cccnc1O2,2.7,59.4
CC(C(=O)O)c1ccc2sc3ncccc3c(=O)c2c1,CC(C(=O)O)c1ccc2c(c1)Cc1cccnc1S2,3.3,75.5
C=C(C(=O)O)c1ccc2c(c1)Cc1cccnc1O2,CC(C(=O)O)c1ccc2c(c1)Cc1cccnc1O2,2.7,59.4
CC(Cl)(C(=O)O)c1ccc2c(c1)Cc1cccnc1O2,CC(C(=O)O)c1ccc2c(c1)Cc1cccnc1O2,2.7,59.4
CC(Br)c1ccc2c(c1)Cc1cccnc1O2.O=C=O,CC(C(=O)O)c1ccc2c(c1)Cc1cccnc1O2,2.7,59.4
CCOC(=O)C(=O)[O-].N#CCc1ccccc1,CCOC(=O)C(=O)C(C#N)c1ccccc1,1.9,67.2
CCOC(=O)C(=O)C(C#N)c1ccccc1.N#CCc1ccccc1,N#CC(C(=O)C(=O)C(C#N)c1ccccc1)c1ccccc1,2.8,81.7
O=C1O/C(=C(/C(=O)O)c2ccccc2)C(O)=C1c1ccccc1,O=C1OC2=C(c3ccccc3)C(=O)OC2=C1c1ccccc1,3.0,52.6
CCOC(=O)C(=O)OCC.N#CCc1ccc(Cl)cc1,CCOC(=O)C(=O)C(C#N)c1ccc(Cl)cc1,2.6,67.2
CCOC(=O)C(=O)C(C#N)c1ccc(Cl)cc1.N#CCc1ccc(Cl)cc1,N#CC(C(=O)C(=O)C(C#N)c1ccc(Cl)cc1)c1ccc(Cl)cc1,4.0,81.7
CCOC(=O)C(=O)OCC.COc1ccc(CC#N)cc1,CCOC(=O)C(=O)C(C#N)c1ccc(OC)cc1,1.9,76.4
CCOC(=O)C(=O)OCC.N#CCc1ccc(F)cc1,CCOC(=O)C(=O)C(C#N)c1ccc(F)cc1,2.0,67.2
CCOC(=O)C(=O)OCC.CCOc1ccc(CC#N)cc1OCC,CCOC(=O)C(=O)C(C#N)c1ccc(OCC)c(OCC)c1,2.6,85.6
CCOC(=O)C(=O)C(C#N)c1ccccc1.N#CCc1ccc(Cl)cc1,N#CC(C(=O)C(=O)C(C#N)c1ccc(Cl)cc1)c1ccccc1,3.4,81.7
CNN.O=C=Nc1nnc(C(F)(F)F)s1.O=C=Nc1nnc(C(F)(F)F)s1,CN(N)C(=O)Nc1nnc(C(F)(F)F)s1,0.1,112.0
C=O.CN(N)C(=O)Nc1nnc(C(F)(F)F)s1,CN1NCN(c2nnc(C(F)(F)F)s2)C1=O,0.6,89.6
CC(C)(C)c1nnc(N)s1.O=C(Cl)Cl,CC(C)(C)c1nnc(N=C=O)s1,3.2,83.4
CC(C)(C)c1nnc(N=C=O)s1.CNN,CN(N)C(=O)Nc1nnc(C(C)(C)C)s1,0.8,112.0
C=O.CN(N)C(=O)Nc1nnc(C(C)(C)C)s1,CN1NCN(c2nnc(C(C)(C)C)s2)C1=O,1.4,89.6
Cc1nnc(N)s1.O=C(Cl)Cl,Cc1nnc(N=C=O)s1,1.9,83.4
CCNN.Cc1nnc(N=C=O)s1,CCN(N)C(=O)Nc1nnc(C)s1,-0.1,112.0
C=O.CCN(N)C(=O)Nc1nnc(C)s1,CCN1NCN(c2nnc(C)s2)C1=O,0.5,89.6
COc1nnc(N)s1.O=C(Cl)Cl,COc1nnc(N=C=O)s1,1.8,92.7
CCCNN.COc1nnc(N=C=O)s1,CCCN(N)C(=O)Nc1nnc(OC)s1,0.3,122.0
CSc1nnc(N)s1.O=C(Cl)Cl,CSc1nnc(N=C=O)s1,2.3,109.0
CNN.CSc1nnc(N=C=O)s1,CSc1nnc(NC(=O)N(C)N)s1,0.0,138.0
C=O.CSc1nnc(NC(=O)N(C)N)s1,CSc1nnc(N2CNN(C)C2=O)s1,0.6,115.0
CS(=O)(=O)c1nnc(N)s1.O=C(Cl)Cl,CS(=O)(=O)c1nnc(N=C=O)s1,1.1,126.0
CCCCNN.CS(=O)(=O)c1nnc(N=C=O)s1,CCCCN(N)C(=O)Nc1nnc(S(C)(=O)=O)s1,0.0,155.0
C=O.CCCCN(N)C(=O)Nc1nnc(S(C)(=O)=O)s1,CCCCN1NCN(c2nnc(S(C)(=O)=O)s2)C1=O,0.5,132.0
CS(=O)c1nnc(N)s1.O=C(Cl)Cl,CS(=O)c1nnc(N=C=O)s1,1.0,120.0
CCCCCCNN.CS(=O)c1nnc(N=C=O)s1,CCCCCCN(N)C(=O)Nc1nnc(S(C)=O)s1,0.9,149.0
C=O.CCCCCCN(N)C(=O)Nc1nnc(S(C)=O)s1,CCCCCCN1NCN(c2nnc(S(C)=O)s2)C1=O,1.5,126.0
CNN.O=C=Nc1nnc(C2CCC2)s1,CN(N)C(=O)Nc1nnc(C2CCC2)s1,0.3,112.0
C=O.CN(N)C(=O)Nc1nnc(C2CCC2)s1,CN1NCN(c2nnc(C3CCC3)s2)C1=O,0.8,89.6
CCOC(C)=O.Nc1nnc(C2CCCCC2)s1,O=C=Nc1nnc(C2CCCCC2)s1,3.7,83.4
C=O.CN(N)C(=O)Nc1nnc(C2CCCCC2)s1,CN1NCN(c2nnc(C3CCCCC3)s2)C1=O,1.9,89.6
CCOC(=O)COc1cccnc1.COP(C)(=O)OC,COP(=O)(CC(=O)COc1cccnc1)OC,-0.1,74.7
CCOC(=O)CCc1ccncc1.COP(=O)(CC(=O)COc1cccnc1)OC,COP(=O)(CC(=O)CCc1ccncc1)OC,0.0,65.5
CCOC(=O)COc1ccc2[nH]ccc2c1.COP(C)(=O)OC,COP(=O)(CC(=O)COc1ccc2[nH]ccc2c1)OC,1.1,77.6
O=P(Cl)(Cl)Cl.Oc1cc(Cl)cnc1O,Oc1cc(Cl)cnc1Cl,2.1,33.1
NCC(O)c1cccc(O)c1.O=C1CCCCC1,Oc1cccc(C2CNC3(CCCCC3)O2)c1,2.3,41.5
CC(C)CC(CBr)N=C=O.N,CC(C)CC1COC(N)=N1,0.9,47.6
CC(=O)N1CCNC1=O.Nc1ccccc1Cl,Clc1ccccc1NC1=NCCN1,1.4,36.4
C1=NCCCC1.CCCCCCCCCCCCc1ccc(C(C)=O)cc1,CCCCCCCCCCCCc1ccc(C(=O)CC2CCCCN2)cc1,8.2,29.1
C1=NCCC1.CC(=O)c1ccc(CCc2ccccc2)cc1,O=C(CC1CCCN1)c1ccc(CCc2ccccc2)cc1,3.9,29.1
C1=NCCCC1.CC(=O)C=CC(C)=Cc1ccccc1,CC(C=CC(=O)CC1CCCCN1)=Cc1ccccc1,3.7,29.1
C1=NCCCC1.CCc1cccc(CC)c1-n1cccc1C(C)=O,CCc1cccc(CC)c1-n1cccc1C(=O)CC1CCCCN1,4.3,34.0
C1=NCCCC1.CC(=O)C(c1ccccc1)c1ccccc1,O=C(CC1CCCCN1)C(c1ccccc1)c1ccccc1,3.7,29.1
C1=NCCCC1.CC(=O)c1ccc2oc3ccccc3c2c1,O=C(CC1CCCCN1)c1ccc2oc3ccccc3c2c1,3.8,42.2
O=C(CC1CCCN1)c1ccc2c(c1)Cc1ccccc1-2,OC(CC1CCCN1)c1ccc2c(c1)Cc1ccccc1-2,3.2,32.3
CC(C)(C)C1CCc2[nH]c3ccccc3c2C1.ClCCN1CCCC1,CC(C)(C)C1CCc2c(c3ccccc3n2CCN2CCCC2)C1,5.1,8.2
CC(C)(C)C1CCc2c(c3ccccc3n2CCN2CCCC2)C1.O=[Mn](=O)(=O)[O-],CC(C)(C)C1CCc2c(c3ccccc3n2CC[N+]2([O-])CCCC2)C1,4.6,23.0
OCc1ccccc1C(O)c1ccccc1,O=Cc1ccccc1C(=O)c1ccccc1,2.8,34.1
OCc1ccccc1C(O)c1ccc(Cl)cc1,O=Cc1ccccc1C(=O)c1ccc(Cl)cc1,3.4,34.1
COc1ccc(C(O)c2ccccc2CO)cc1,COc1ccc(C(=O)c2ccccc2C=O)cc1,2.7,43.4
OCc1ccc(Cl)cc1C(O)c1ccccc1,O=Cc1ccc(Cl)cc1C(=O)c1ccccc1,3.4,34.1
O=C(O)c1ccccc1C(=O)c1ccc(Br)cc1,O=Cc1ccccc1C(=O)c1ccc(Br)cc1,3.4,34.1
OOC1(c2ccccc2)c2ccccc2C2=NCCN21,O=C(c1ccccc1)c1ccccc1C1=NCCN1,2.2,41.5
NCCN.OCc1ccccc1C(O)c1ccccc1,NCCN1Cc2ccccc2C1c1ccccc1,2.1,29.3
OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCN21,O=C(c1ccc(Cl)cc1)c1ccccc1C1=NCCN1,2.9,41.5
Nc1ccccc1C(=O)c1ccccc1C(=O)O.[Cl-],O=C(O)c1ccccc1C(=O)c1ccccc1Cl,3.1,54.4
Nc1ccccc1C(=O)c1ccccc1.O=C(Cl)C(Cl)Cl,O=C(c1ccccc1)c1ccccc1NC(=O)C(Cl)Cl,4.3,46.2
O=C(c1ccccc1)c1ccccc1NC(=O)C(Cl)Cl.[C-]#N,NC1=Nc2ccccc2C1(O)c1ccccc1,1.4,58.6
BrCCCBr.NC1=Nc2ccccc2C1(O)c1ccccc1,OC1(c2ccccc2)C2=NCCCN2c2ccccc21,1.9,35.8
ClCCCCl.NC1=Nc2ccc(Cl)cc2C1(O)c1ccccc1,OC1(c2ccccc2)C2=NCCCN2c2ccc(Cl)cc21,2.6,35.8
Nc1ccccc1C(=O)c1cccc(Cl)c1.O=C(Cl)C(Cl)Cl,O=C(c1cccc(Cl)c1)c1ccccc1NC(=O)C(Cl)Cl,4.9,46.2
BrCCCCBr.NC1=Nc2ccccc2C1(O)c1cccc(Cl)c1,OC1(c2cccc(Cl)c2)C2=NCCCCN2c2ccccc21,2.9,35.8
BrCCCBr.NC1=Nc2ccccc2C1(O)c1cccc(Cl)c1,OC1(c2cccc(Cl)c2)C2=NCCCN2c2ccccc21,2.6,35.8
BrCCCCBr.NC1=Nc2ccc(Cl)cc2C1(O)c1ccccc1Cl,OC1(c2ccccc2Cl)C2=NCCCCN2c2ccc(Cl)cc21,3.5,35.8
O=C(c1ccccc1)c1cc(Cl)ccc1NC(=O)C(Cl)Cl.[C-]#N,NC1=Nc2ccc(Cl)cc2C1(O)c1ccccc1,2.0,58.6
BrCCCCBr.NC1=Nc2ccc(Cl)cc2C1(O)c1ccccc1,OC1(c2ccccc2)C2=NCCCCN2c2ccc(Cl)cc21,2.9,35.8
CC(C)NCCN.Cc1ccc(S(=O)(=O)Cl)cc1,Cc1ccc(S(=O)(=O)NCCNC(C)C)cc1,1.6,66.6
Cc1ccc(S(=O)(=O)NCCN(C(=O)c2ccccc2C(=O)c2ccc(Cl)cc2)C(C)C)cc1,CC(C)N1CCN=C1c1ccccc1C(=O)c1ccc(Cl)cc1,3.8,32.7
CCNCCN.Cc1ccc(S(=O)(=O)Cl)cc1,CCNCCNS(=O)(=O)c1ccc(C)cc1,1.2,66.6
CCNCCNS(=O)(=O)c1ccc(C)cc1.O=C(O)c1ccccc1C(=O)c1ccc(Cl)cc1,CCN(CCNS(=O)(=O)c1ccc(C)cc1)C(=O)c1ccccc1C(=O)c1ccc(Cl)cc1,4.7,91.9
Cc1ccc(S(=O)(=O)NCCNC(C)C)cc1.O=C(O)c1ccccc1C(=O)c1ccccc1,Cc1ccc(S(=O)(=O)NCCN(C(=O)c2ccccc2C(=O)c2ccccc2)C(C)C)cc1,4.5,91.9
CCN(C(=O)c1ccccc1C(=O)c1ccc(Cl)cc1)C(C)(C)CNS(=O)(=O)c1ccc(C)cc1,CCN1C(c2ccccc2C(=O)c2ccc(Cl)cc2)=NCC1(C)C,4.0,32.7
CCN.Cc1ccc(S(=O)(=O)NC(C)C(=O)Cl)cc1,CCNC(=O)C(C)NS(=O)(=O)c1ccc(C)cc1,1.4,83.6
CCOC(OCC)N(C)C.Cc1ccccc1[N+](=O)[O-],CN(C)/C=C/c1ccccc1[N+](=O)[O-],2.1,49.1
CC(=O)Cl.CN(C)C=Cc1ccccc1[N+](=O)[O-],CC(=O)C(=CN(C)C)c1ccccc1[N+](=O)[O-],1.8,66.1
CC(=O)C(=CN(C)C)c1ccccc1[N+](=O)[O-],CC(=O)Cc1ccccc1[N+](=O)[O-],1.7,62.9
O=C(Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1CCl.[S-2],O=C1SCc2c(Cl)c(Cl)c(Cl)c(Cl)c21,3.7,42.4
CCCCCC(C)C(C)c1cc(O)c2c(c1)OC1=C(CCC(C)C1)C2C,CCCCCC(C)C(C)c1cc(O)c2c(c1)Oc1cc(C)ccc1C2C,7.9,29.5
CC(=O)C1CCCCC1=O.CCCCCC(C)C(C)c1cc(O)cc(O)c1,c1ccc2c(c1)CC1=C(CCCC1)O2,3.1,9.2
CC(=O)C1CCCCC1=O.CC(=O)O.CCCCCC(C)C(C)c1cc(O)cc(O)c1,CCCCCC(C)C(C)c1cc(OC(C)=O)c2c(c1)OC1=C(CCCC1)C2C,7.2,35.5
CCCCCC(C)C(C)c1cc(OC(C)=O)c2c(c1)OC1=C(CCCC1)C2C,CCCCCC(C)C(C)c1cc(O)c2c(c1)OC1=C(CCCC1)C2C,7.1,29.5
CC(=O)Cl.CCC1CCCC(=O)C1,CCC1CCC(C(C)=O)C(=O)C1,1.9,34.1
CC(=O)C1CCC(C)CC1=O.CCCCCCC(C)c1cc(O)cc(O)c1,CCCCCCC(C)c1cc(O)c2c(c1)OC1=C(CCC(C)C1)C2C,7.3,29.5
CCCCCCCCC(C)=C(C)c1cc(OC)cc(OC)c1,CCCCCCCCC(C)C(C)c1cc(OC)cc(OC)c1,7.6,18.5
CCCCCCCCC(C)C(C)c1cc(OC)cc(OC)c1,CCCCCCCCC(C)C(C)c1cc(O)cc(O)c1,6.9,40.5
CCCCCC(C)(O)C(C)(C)c1cc(OC)cc(OC)c1,CCCCCC(C)C(C)(C)c1cc(O)cc(O)c1,5.8,40.5
CC(=O)C1CCC(C)CC1=O.CCCCCC(C)C(C)(C)c1cc(O)cc(O)c1,CCCCCC(C)C(C)(C)c1cc(O)c2c(c1)OC1=C(CCC(C)C1)C2C,8.1,29.5
CC(=O)C1CCC(C)CC1=O.CCCCCC(C)C(CC)c1cc(O)cc(O)c1,CCCCCC(C)C(CC)c1cc(O)c2c(c1)OC1=C(CCC(C)C1)C2C,8.1,29.5
CC(=O)C1CCC(C)CC1=O.CCCCCC(CC)C(CC)c1cc(O)cc(O)c1,CCCCCC(CC)C(CC)c1cc(O)c2c(c1)OC1=C(CCC(C)C1)C2C,8.7,29.5
CC(=O)C1CCC(C)CC1=O.CCCCCCCC(C)C(C)c1cc(O)cc(O)c1,CCCCCCCC(C)C(C)c1cc(O)c2c(c1)OC1=C(CCC(C)C1)C2C,8.7,29.5
CC(=O)C1CCC(C)CC1=O.CCCCCC(C)Cc1cc(O)cc(O)c1,CCCCCC(C)Cc1cc(O)c2c(c1)OC1=C(CCC(C)C1)C2C,7.2,29.5
CC(=O)OC(C)=O.CCCCCC(C)C(C)c1cc(O)c2c(c1)OC1=C(CCC(C)C1)C2C,CCCCCC(C)C(C)c1cc(OC(C)=O)c2c(c1)OC1=C(CCC(C)C1)C2C,7.7,35.5
CCCCCC(C)C(C)c1cc(O)c2c(c1)OC1=C(CCC(C)C1)C2C.CCCCCC(C)C(C)c1cc(O)c2c(c1)OC1=C(CCCC1)C2,CCCCCC(C)C(C)c1cc(OC(C)=O)c2c(c1)OC1=C(CCCC1)C2,6.9,35.5
CC1=CC(=O)OC1=O.[Cl-],O=C1CC(CCl)C(=O)O1,0.2,43.4
COC(=O)C(C)(C)Br.Cc1oc2ccccc2c1O,COC(=O)C(C)(C)Oc1c(C)oc2ccccc12,3.2,48.7
Cc1cc(O)cc(=O)o1.Cc1ccc(S(=O)O)cc1,CSc1c(O)cc(C)oc1=O,1.2,71.8
